Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,text,culture,scale,typeName,Mean,Error,StdDev,Median
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Claro!,Portuguese,x1,boolean,3.959 ms,18.27 ms,12.08 ms,0.0695 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Claro(...)laro! [60],Portuguese,x10,boolean,4.187 ms,19.13 ms,12.66 ms,0.1059 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Claro(...)laro! [600],Portuguese,x100,boolean,4.369 ms,18.29 ms,12.09 ms,0.4498 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ja klar!,German,x1,boolean,4.876 ms,22.61 ms,14.95 ms,0.0456 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ja kl(...)klar! [80],German,x10,boolean,4.542 ms,20.85 ms,13.79 ms,0.0899 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ja kl(...)klar! [800],German,x100,boolean,4.839 ms,19.42 ms,12.85 ms,0.5665 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Prima!,Dutch,x1,boolean,4.513 ms,20.87 ms,13.81 ms,0.0609 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Prima(...)rima! [60],Dutch,x10,boolean,4.303 ms,19.83 ms,13.12 ms,0.0655 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Prima(...)rima! [600],Dutch,x100,boolean,4.492 ms,19.36 ms,12.81 ms,0.3590 ms
RecognizeBoolean,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Sure!,English,x1,boolean,4.462 ms,20.59 ms,13.62 ms,0.0644 ms
