Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,text,culture,scale,typeName,Mean,Error,StdDev,Median
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,15 日に戻ります。,Japanese,x1,date,45.27 ms,182.6 ms,120.75 ms,6.941 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,15 日に(...)戻ります。 [100],Japanese,x10,date,131.69 ms,288.6 ms,190.89 ms,65.159 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,15 日に(...)戻ります。 [1000],Japanese,x100,date,"1,225.72 ms",293.4 ms,194.07 ms,"1,173.679 ms"
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,15일에 돌아갈게요,Korean,x1,date,67.56 ms,295.7 ms,195.56 ms,5.985 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,15일에 (...)돌아갈게요 [100],Korean,x10,date,84.44 ms,270.7 ms,179.06 ms,28.053 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,15일에 (...)돌아갈게요 [1000],Korean,x100,date,275.71 ms,289.7 ms,191.64 ms,216.311 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,2010-01-29,Chinese,x1,date,69.49 ms,263.9 ms,174.55 ms,15.688 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,2010-(...)01-29 [100],Chinese,x10,date,235.98 ms,294.2 ms,194.57 ms,176.084 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,2010-(...)01-29 [1000],Chinese,x100,date,"9,641.51 ms","2,018.8 ms","1,335.29 ms","9,575.072 ms"
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,I'll go back on 15,English,x1,date,58.37 ms,235.5 ms,155.76 ms,9.110 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,I'll (...)on 15 [180],English,x10,date,136.61 ms,243.0 ms,160.72 ms,84.615 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,I'll (...)on 15 [1800],English,x100,date,"2,580.98 ms",216.4 ms,143.15 ms,"2,544.166 ms"
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ich g(...)urück [28],German,x1,date,65.66 ms,235.6 ms,155.84 ms,16.518 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ich g(...)urück [280],German,x10,date,193.32 ms,252.0 ms,166.65 ms,148.646 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ich g(...)urück [2800],German,x100,date,"4,229.22 ms",954.7 ms,631.50 ms,"4,098.959 ms"
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ik ga(...)e 15e [21],Dutch,x1,date,59.75 ms,226.7 ms,149.92 ms,12.012 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ik ga(...)e 15e [210],Dutch,x10,date,158.87 ms,203.5 ms,134.63 ms,115.996 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Ik ga(...)e 15e [2100],Dutch,x100,date,"2,593.40 ms",525.6 ms,347.68 ms,"2,669.508 ms"
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Je re(...)embre [27],French,x1,date,52.47 ms,224.8 ms,148.68 ms,5.333 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Je re(...)embre [270],French,x10,date,136.11 ms,234.6 ms,155.14 ms,89.100 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Je re(...)embre [2700],French,x100,date,"2,688.02 ms",472.3 ms,312.42 ms,"2,569.957 ms"
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Tornerò il 15,Italian,x1,date,53.33 ms,210.6 ms,139.31 ms,8.575 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Torne(...)il 15 [130],Italian,x10,date,121.43 ms,222.9 ms,147.43 ms,74.907 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Torne(...)il 15 [1300],Italian,x100,date,"1,794.21 ms",118.0 ms,78.04 ms,"1,794.762 ms"
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Voltarei no 15,Portuguese,x1,date,56.26 ms,230.6 ms,152.55 ms,8.634 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Volta(...)no 15 [140],Portuguese,x10,date,143.56 ms,258.8 ms,171.20 ms,94.653 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Volta(...)no 15 [1400],Portuguese,x100,date,"1,994.92 ms",306.5 ms,202.72 ms,"1,971.742 ms"
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Volvere el 15,Spanish,x1,date,56.12 ms,222.9 ms,147.44 ms,8.894 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Volve(...)el 15 [130],Spanish,x10,date,122.27 ms,240.3 ms,158.94 ms,75.468 ms
RecognizeDateTime,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,Volve(...)el 15 [1300],Spanish,x100,date,"1,575.55 ms",229.8 ms,151.99 ms,"1,613.019 ms"
