Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,text,culture,scale,typeName,Mean,Error,StdDev,Median
RecognizeCurrency,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,3 $,German,x1,currency,46.21 ms,164.17 ms,108.59 ms,11.9877 ms
RecognizeCurrency,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,3 $3 (...) $3 $ [30],German,x10,currency,49.41 ms,171.93 ms,113.72 ms,13.0281 ms
RecognizeCurrency,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,3 $3 (...) $3 $ [300],German,x100,currency,204.32 ms,188.53 ms,124.70 ms,165.7846 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75 litre,French,x1,dimension,30.75 ms,145.04 ms,95.94 ms,0.2899 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75 li(...)litre [80],French,x10,dimension,30.43 ms,138.38 ms,91.53 ms,1.3759 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75 li(...)litre [800],French,x100,dimension,39.49 ms,139.10 ms,92.00 ms,11.3061 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml,Dutch,x1,dimension,32.11 ms,151.63 ms,100.30 ms,0.2957 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml,English,x1,dimension,35.37 ms,167.40 ms,110.72 ms,0.2733 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml,German,x1,dimension,32.09 ms,151.80 ms,100.41 ms,0.2429 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml,Italian,x1,dimension,31.13 ms,147.43 ms,97.52 ms,0.2017 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml,Spanish,x1,dimension,31.04 ms,146.38 ms,96.82 ms,0.2919 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [40],Dutch,x10,dimension,35.68 ms,167.00 ms,110.46 ms,0.7383 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [40],English,x10,dimension,28.48 ms,132.66 ms,87.75 ms,0.6296 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [40],German,x10,dimension,37.31 ms,174.01 ms,115.09 ms,0.8205 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [40],Italian,x10,dimension,30.88 ms,143.07 ms,94.63 ms,0.8812 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [40],Spanish,x10,dimension,37.75 ms,176.19 ms,116.54 ms,0.8539 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [400],Dutch,x100,dimension,35.58 ms,143.35 ms,94.82 ms,5.9000 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [400],English,x100,dimension,36.01 ms,139.00 ms,91.94 ms,6.3961 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [400],German,x100,dimension,33.52 ms,134.95 ms,89.26 ms,4.9439 ms
RecognizeDimension,Default,False,Default,Default,Default,Default,Default,Default,1111,Empty,LegacyJit,X86,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,1,10,Default,Default,Default,Default,Default,Default,ColdStart,1,Default,75ml7(...)l75ml [400],Italian,x100,dimension,33.76 ms,133.78 ms,88.49 ms,5.6245 ms
